DPTO_CNMBR	MPIO_CNMBR	NOM_SUBREG	COD_SUBREG	MPIO_CCNCT	DPTO_CCDGO
ANTIOQUIA	REMEDIOS	NORDESTE	503	5604	5
ANTIOQUIA	RETIRO	ORIENTE	506	5607	5
ANTIOQUIA	RIONEGRO	ORIENTE	506	5615	5
ANTIOQUIA	SABANALARGA	OCCIDENTE	505	5628	5
ANTIOQUIA	SABANETA	VALLE DEL ABURRÁ	509	5631	5
ANTIOQUIA	SALGAR	SUROESTE	507	5642	5
ANTIOQUIA	SAN ANDRÉS DE CUERQUÍA	NORTE	504	5647	5
ANTIOQUIA	SAN CARLOS	ORIENTE	506	5649	5
ANTIOQUIA	SAN FRANCISCO	ORIENTE	506	5652	5
ANTIOQUIA	SAN JERÓNIMO	OCCIDENTE	505	5656	5
ANTIOQUIA	SAN JOSÉ DE LA MONTAÑA	NORTE	504	5658	5
ANTIOQUIA	SAN JUAN DE URABÁ	URABÁ	508	5659	5
ANTIOQUIA	SAN LUIS	ORIENTE	506	5660	5
ANTIOQUIA	SAN PEDRO DE LOS MILAGROS	NORTE	504	5664	5
ANTIOQUIA	SAN PEDRO DE URABÁ	URABÁ	508	5665	5
ANTIOQUIA	SAN RAFAEL	ORIENTE	506	5667	5
ANTIOQUIA	SAN ROQUE	NORDESTE	503	5670	5
ANTIOQUIA	SAN VICENTE FERRER	ORIENTE	506	5674	5
ANTIOQUIA	SANTA BÁRBARA	SUROESTE	507	5679	5
ANTIOQUIA	SANTA FÉ DE ANTIOQUIA	OCCIDENTE	505	5042	5
ANTIOQUIA	SANTA ROSA DE OSOS	NORTE	504	5686	5
ANTIOQUIA	SANTO DOMINGO	NORDESTE	503	5690	5
ANTIOQUIA	SEGOVIA	NORDESTE	503	5736	5
ANTIOQUIA	SONSÓN	ORIENTE	506	5756	5
ANTIOQUIA	SOPETRÁN	OCCIDENTE	505	5761	5
ANTIOQUIA	TÁMESIS	SUROESTE	507	5789	5
ANTIOQUIA	TARAZÁ	BAJO CAUCA	501	5790	5
ANTIOQUIA	TARSO	SUROESTE	507	5792	5
ANTIOQUIA	TITIRIBÍ	SUROESTE	507	5809	5
ANTIOQUIA	TOLEDO	NORTE	504	5819	5
ANTIOQUIA	TURBO	URABÁ	508	5837	5
ANTIOQUIA	URAMITA	OCCIDENTE	505	5842	5
ANTIOQUIA	URRAO	SUROESTE	507	5847	5
ANTIOQUIA	VALDIVIA	NORTE	504	5854	5
ANTIOQUIA	VALPARAÍSO	SUROESTE	507	5856	5
ANTIOQUIA	VEGACHÍ	NORDESTE	503	5858	5
ANTIOQUIA	VENECIA	SUROESTE	507	5861	5
ANTIOQUIA	VIGÍA DEL FUERTE	URABÁ	508	5873	5
ANTIOQUIA	YALÍ	NORDESTE	503	5885	5
ANTIOQUIA	YARUMAL	NORTE	504	5887	5
ANTIOQUIA	YOLOMBÓ	NORDESTE	503	5890	5
ANTIOQUIA	YONDÓ	MAGDALENA MEDIO	502	5893	5
ANTIOQUIA	ZARAGOZA	BAJO CAUCA	501	5895	5
ARAUCA	ARAUCA	ARAUCA	8100	81001	81
ARAUCA	ARAUQUITA	ARAUCA	8100	81065	81
ARAUCA	CRAVO NORTE	ARAUCA	8100	81220	81
ARAUCA	FORTUL	ARAUCA	8100	81300	81
ARAUCA	PUERTO RONDÓN	ARAUCA	8100	81591	81
ARAUCA	SARAVENA	ARAUCA	8100	81736	81
ARAUCA	TAME	ARAUCA	8100	81794	81
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	PROVIDENCIA	ARCHIPIELAGO DE SAN ANDRÉS	8800	88564	88
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	ARCHIPIELAGO DE SAN ANDRÉS	8800	88001	88
ATLÁNTICO	BARANOA	CENTRO ORIENTE	801	8078	8
ATLÁNTICO	BARRANQUILLA	NORTE	802	8001	8
ATLÁNTICO	CAMPO DE LA CRUZ	SUR	804	8137	8
ATLÁNTICO	CANDELARIA	SUR	804	8141	8
ATLÁNTICO	GALAPA	NORTE	802	8296	8
ATLÁNTICO	JUAN DE ACOSTA	OCCIDENTAL	803	8372	8
ATLÁNTICO	LURUACO	SUR	804	8421	8
ATLÁNTICO	MALAMBO	NORTE	802	8433	8
ATLÁNTICO	MANATÍ	SUR	804	8436	8
ATLÁNTICO	PALMAR DE VARELA	CENTRO ORIENTE	801	8520	8
ATLÁNTICO	PIOJÓ	OCCIDENTAL	803	8549	8
ATLÁNTICO	POLONUEVO	CENTRO ORIENTE	801	8558	8
ATLÁNTICO	PONEDERA	CENTRO ORIENTE	801	8560	8
ATLÁNTICO	PUERTO COLOMBIA	NORTE	802	8573	8
ATLÁNTICO	REPELÓN	SUR	804	8606	8
ATLÁNTICO	SABANAGRANDE	CENTRO ORIENTE	801	8634	8
ATLÁNTICO	SABANALARGA	CENTRO ORIENTE	801	8638	8
ATLÁNTICO	SANTA LUCÍA	SUR	804	8675	8
ATLÁNTICO	SANTO TOMÁS	CENTRO ORIENTE	801	8685	8
ATLÁNTICO	SOLEDAD	NORTE	802	8758	8
ATLÁNTICO	SUAN	SUR	804	8770	8
ATLÁNTICO	TUBARÁ	OCCIDENTAL	803	8832	8
ATLÁNTICO	USIACURÍ	OCCIDENTAL	803	8849	8
BOGOTÁ, D.C.	BOGOTÁ, D.C.	BOGOTÁ, D. C.	1101	11001	11
BOLÍVAR	ACHÍ	MOJANA BOLIVARENSE	1305	13006	13
BOLÍVAR	ALTOS DEL ROSARIO	LOBA	1303	13030	13
BOLÍVAR	ARENAL	MAGDALENA MEDIO BOLIVARENSE	1304	13042	13
BOLÍVAR	ARJONA	DIQUE BOLIVARENSE	1302	13052	13
BOLÍVAR	ARROYOHONDO	DIQUE BOLIVARENSE	1302	13062	13
BOLÍVAR	BARRANCO DE LOBA	LOBA	1303	13074	13
BOLÍVAR	CALAMAR	DIQUE BOLIVARENSE	1302	13140	13
BOLÍVAR	CANTAGALLO	MAGDALENA MEDIO BOLIVARENSE	1304	13160	13
BOLÍVAR	CARTAGENA DE INDIAS	DIQUE BOLIVARENSE	1302	13001	13
BOLÍVAR	CICUCO	DEPRESIÓN MOMPOSINA	1301	13188	13
BOLÍVAR	CLEMENCIA	DIQUE BOLIVARENSE	1302	13222	13
BOLÍVAR	CÓRDOBA	MONTES DE MARÍA	1306	13212	13
BOLÍVAR	EL CARMEN DE BOLÍVAR	MONTES DE MARÍA	1306	13244	13
BOLÍVAR	EL GUAMO	MONTES DE MARÍA	1306	13248	13
BOLÍVAR	EL PEÑÓN	LOBA	1303	13268	13
BOLÍVAR	HATILLO DE LOBA	DEPRESIÓN MOMPOSINA	1301	13300	13
BOLÍVAR	MAGANGUÉ	MOJANA BOLIVARENSE	1305	13430	13
BOLÍVAR	MAHATES	DIQUE BOLIVARENSE	1302	13433	13
BOLÍVAR	MARGARITA	DEPRESIÓN MOMPOSINA	1301	13440	13
BOLÍVAR	MARÍA LA BAJA	MONTES DE MARÍA	1306	13442	13
BOLÍVAR	MOMPÓS	DEPRESIÓN MOMPOSINA	1301	13468	13
BOLÍVAR	MONTECRISTO	MOJANA BOLIVARENSE	1305	13458	13
BOLÍVAR	MORALES	MAGDALENA MEDIO BOLIVARENSE	1304	13473	13
BOLÍVAR	NOROSÍ	MAGDALENA MEDIO BOLIVARENSE	1304	13490	13
BOLÍVAR	PINILLOS	MOJANA BOLIVARENSE	1305	13549	13
BOLÍVAR	REGIDOR	LOBA	1303	13580	13
BOLÍVAR	RÍO VIEJO	LOBA	1303	13600	13
BOLÍVAR	SAN CRISTÓBAL	DIQUE BOLIVARENSE	1302	13620	13
BOLÍVAR	SAN ESTANISLAO	DIQUE BOLIVARENSE	1302	13647	13
BOLÍVAR	SAN FERNANDO	DEPRESIÓN MOMPOSINA	1301	13650	13
BOLÍVAR	SAN JACINTO	MONTES DE MARÍA	1306	13654	13
BOLÍVAR	SAN JACINTO DEL CAUCA	MOJANA BOLIVARENSE	1305	13655	13
BOLÍVAR	SAN JUAN NEPOMUCENO	MONTES DE MARÍA	1306	13657	13
BOLÍVAR	SAN MARTÍN DE LOBA	LOBA	1303	13667	13
BOLÍVAR	SAN PABLO	MAGDALENA MEDIO BOLIVARENSE	1304	13670	13
BOLÍVAR	SANTA CATALINA	DIQUE BOLIVARENSE	1302	13673	13
BOLÍVAR	SANTA ROSA	DIQUE BOLIVARENSE	1302	13683	13
BOLÍVAR	SANTA ROSA DEL SUR	MAGDALENA MEDIO BOLIVARENSE	1304	13688	13
BOLÍVAR	SIMITÍ	MAGDALENA MEDIO BOLIVARENSE	1304	13744	13
BOLÍVAR	SOPLAVIENTO	DIQUE BOLIVARENSE	1302	13760	13
BOLÍVAR	TALAIGUA NUEVO	DEPRESIÓN MOMPOSINA	1301	13780	13
BOLÍVAR	TIQUISIO	MOJANA BOLIVARENSE	1305	13810	13
BOLÍVAR	TURBACO	DIQUE BOLIVARENSE	1302	13836	13
BOLÍVAR	TURBANÁ	DIQUE BOLIVARENSE	1302	13838	13
BOLÍVAR	VILLANUEVA	DIQUE BOLIVARENSE	1302	13873	13
BOLÍVAR	ZAMBRANO	MONTES DE MARÍA	1306	13894	13
BOYACÁ	ALMEIDA	ORIENTE	1509	15022	15
BOYACÁ	AQUITANIA	SUGAMUXI	1511	15047	15
BOYACÁ	ARCABUCO	RICAURTE	1510	15051	15
BOYACÁ	BELÉN	TUNDAMA	1512	15087	15
BOYACÁ	BERBEO	LENGUPÁ	1504	15090	15
BOYACÁ	BETÉITIVA	VALDERRAMA	1513	15092	15
BOYACÁ	BOAVITA	NORTE	1507	15097	15
BOYACÁ	BOYACÁ	MÁRQUEZ	1505	15104	15
BOYACÁ	BRICEÑO	OCCIDENTE	1508	15106	15
BOYACÁ	BUENAVISTA	OCCIDENTE	1508	15109	15
BOYACÁ	BUSBANZÁ	TUNDAMA	1512	15114	15
BOYACÁ	CALDAS	OCCIDENTE	1508	15131	15
BOYACÁ	CAMPOHERMOSO	LENGUPÁ	1504	15135	15
BOYACÁ	CERINZA	TUNDAMA	1512	15162	15
BOYACÁ	CHINAVITA	NEIRA	1506	15172	15
BOYACÁ	CHIQUINQUIRÁ	OCCIDENTE	1508	15176	15
BOYACÁ	CHÍQUIZA	CENTRO	1501	15232	15
BOYACÁ	CHISCAS	GUTIÉRREZ	1502	15180	15
BOYACÁ	CHITA	VALDERRAMA	1513	15183	15
BOYACÁ	CHITARAQUE	RICAURTE	1510	15185	15
BOYACÁ	CHIVATÁ	CENTRO	1501	15187	15
BOYACÁ	CHIVOR	ORIENTE	1509	15236	15
BOYACÁ	CIÉNEGA	MÁRQUEZ	1505	15189	15
BOYACÁ	CÓMBITA	CENTRO	1501	15204	15
BOYACÁ	COPER	OCCIDENTE	1508	15212	15
BOYACÁ	CORRALES	TUNDAMA	1512	15215	15
BOYACÁ	COVARACHÍA	NORTE	1507	15218	15
BOYACÁ	CUBARÁ	GUTIÉRREZ	1502	15223	15
BOYACÁ	CUCAITA	CENTRO	1501	15224	15
BOYACÁ	CUÍTIVA	SUGAMUXI	1511	15226	15
BOYACÁ	DUITAMA	TUNDAMA	1512	15238	15
BOYACÁ	EL COCUY	GUTIÉRREZ	1502	15244	15
BOYACÁ	EL ESPINO	GUTIÉRREZ	1502	15248	15
BOYACÁ	FIRAVITOBA	SUGAMUXI	1511	15272	15
BOYACÁ	FLORESTA	TUNDAMA	1512	15276	15
BOYACÁ	GACHANTIVÁ	RICAURTE	1510	15293	15
BOYACÁ	GÁMEZA	SUGAMUXI	1511	15296	15
BOYACÁ	GARAGOA	NEIRA	1506	15299	15
BOYACÁ	GUACAMAYAS	GUTIÉRREZ	1502	15317	15
BOYACÁ	GUATEQUE	ORIENTE	1509	15322	15
BOYACÁ	GUAYATÁ	ORIENTE	1509	15325	15
BOYACÁ	GÜICÁN DE LA SIERRA	GUTIÉRREZ	1502	15332	15
BOYACÁ	IZA	SUGAMUXI	1511	15362	15
BOYACÁ	JENESANO	MÁRQUEZ	1505	15367	15
BOYACÁ	JERICÓ	VALDERRAMA	1513	15368	15
BOYACÁ	LA CAPILLA	ORIENTE	1509	15380	15
BOYACÁ	LA UVITA	NORTE	1507	15403	15
BOYACÁ	LA VICTORIA	OCCIDENTE	1508	15401	15
BOYACÁ	LABRANZAGRANDE	LA LIBERTAD	1503	15377	15
BOYACÁ	MACANAL	NEIRA	1506	15425	15
BOYACÁ	MARIPÍ	OCCIDENTE	1508	15442	15
BOYACÁ	MIRAFLORES	LENGUPÁ	1504	15455	15
BOYACÁ	MONGUA	SUGAMUXI	1511	15464	15
BOYACÁ	MONGUÍ	SUGAMUXI	1511	15466	15
BOYACÁ	MONIQUIRÁ	RICAURTE	1510	15469	15
BOYACÁ	MOTAVITA	CENTRO	1501	15476	15
BOYACÁ	MUZO	OCCIDENTE	1508	15480	15
BOYACÁ	NOBSA	SUGAMUXI	1511	15491	15
BOYACÁ	NUEVO COLÓN	MÁRQUEZ	1505	15494	15
BOYACÁ	OICATÁ	CENTRO	1501	15500	15
BOYACÁ	OTANCHE	OCCIDENTE	1508	15507	15
BOYACÁ	PACHAVITA	NEIRA	1506	15511	15
BOYACÁ	PÁEZ	LENGUPÁ	1504	15514	15
BOYACÁ	PAIPA	TUNDAMA	1512	15516	15
BOYACÁ	PAJARITO	LA LIBERTAD	1503	15518	15
BOYACÁ	PANQUEBA	GUTIÉRREZ	1502	15522	15
BOYACÁ	PAUNA	OCCIDENTE	1508	15531	15
BOYACÁ	PAYA	LA LIBERTAD	1503	15533	15
BOYACÁ	PAZ DE RÍO	VALDERRAMA	1513	15537	15
BOYACÁ	PESCA	SUGAMUXI	1511	15542	15
BOYACÁ	PISBA	LA LIBERTAD	1503	15550	15
BOYACÁ	PUERTO BOYACÁ	OCCIDENTE	1508	15572	15
BOYACÁ	QUÍPAMA	OCCIDENTE	1508	15580	15
BOYACÁ	RAMIRIQUÍ	MÁRQUEZ	1505	15599	15
BOYACÁ	RÁQUIRA	RICAURTE	1510	15600	15
BOYACÁ	RONDÓN	MÁRQUEZ	1505	15621	15
BOYACÁ	SABOYÁ	OCCIDENTE	1508	15632	15
BOYACÁ	SÁCHICA	RICAURTE	1510	15638	15
BOYACÁ	SAMACÁ	CENTRO	1501	15646	15
BOYACÁ	SAN EDUARDO	LENGUPÁ	1504	15660	15
BOYACÁ	SAN JOSÉ DE PARE	RICAURTE	1510	15664	15
BOYACÁ	SAN LUIS DE GACENO	NEIRA	1506	15667	15
BOYACÁ	SAN MATEO	NORTE	1507	15673	15
BOYACÁ	SAN MIGUEL DE SEMA	OCCIDENTE	1508	15676	15
BOYACÁ	SAN PABLO DE BORBUR	OCCIDENTE	1508	15681	15
BOYACÁ	SANTA MARÍA	NEIRA	1506	15690	15
BOYACÁ	SANTA ROSA DE VITERBO	TUNDAMA	1512	15693	15
BOYACÁ	SANTA SOFÍA	RICAURTE	1510	15696	15
BOYACÁ	SANTANA	RICAURTE	1510	15686	15
BOYACÁ	SATIVANORTE	NORTE	1507	15720	15
BOYACÁ	SATIVASUR	NORTE	1507	15723	15
BOYACÁ	SIACHOQUE	CENTRO	1501	15740	15
BOYACÁ	SOATÁ	NORTE	1507	15753	15
BOYACÁ	SOCHA	VALDERRAMA	1513	15757	15
BOYACÁ	SOCOTÁ	VALDERRAMA	1513	15755	15
BOYACÁ	SOGAMOSO	SUGAMUXI	1511	15759	15
BOYACÁ	SOMONDOCO	ORIENTE	1509	15761	15
BOYACÁ	SORA	CENTRO	1501	15762	15
BOYACÁ	SORACÁ	CENTRO	1501	15764	15
BOYACÁ	SOTAQUIRÁ	CENTRO	1501	15763	15
BOYACÁ	SUSACÓN	NORTE	1507	15774	15
BOYACÁ	SUTAMARCHÁN	RICAURTE	1510	15776	15
BOYACÁ	SUTATENZA	ORIENTE	1509	15778	15
BOYACÁ	TASCO	VALDERRAMA	1513	15790	15
BOYACÁ	TENZA	ORIENTE	1509	15798	15
BOYACÁ	TIBANÁ	MÁRQUEZ	1505	15804	15
BOYACÁ	TIBASOSA	SUGAMUXI	1511	15806	15
BOYACÁ	TINJACÁ	RICAURTE	1510	15808	15
BOYACÁ	TIPACOQUE	NORTE	1507	15810	15
BOYACÁ	TOCA	CENTRO	1501	15814	15
BOYACÁ	TOGÜÍ	RICAURTE	1510	15816	15
BOYACÁ	TÓPAGA	SUGAMUXI	1511	15820	15
BOYACÁ	TOTA	SUGAMUXI	1511	15822	15
BOYACÁ	TUNJA	CENTRO	1501	15001	15
BOYACÁ	TUNUNGUÁ	OCCIDENTE	1508	15832	15
BOYACÁ	TURMEQUÉ	MÁRQUEZ	1505	15835	15
BOYACÁ	TUTA	CENTRO	1501	15837	15
BOYACÁ	TUTAZÁ	TUNDAMA	1512	15839	15
BOYACÁ	ÚMBITA	MÁRQUEZ	1505	15842	15
BOYACÁ	VENTAQUEMADA	CENTRO	1501	15861	15
BOYACÁ	VILLA DE LEYVA	RICAURTE	1510	15407	15
BOYACÁ	VIRACACHÁ	MÁRQUEZ	1505	15879	15
BOYACÁ	ZETAQUIRA	LENGUPÁ	1504	15897	15
CALDAS	AGUADAS	NORTE	1706	17013	17
CALDAS	ANSERMA	BAJO OCCIDENTE	1703	17042	17
CALDAS	ARANZAZU	NORTE	1706	17050	17
CALDAS	BELALCÁZAR	BAJO OCCIDENTE	1703	17088	17
CALDAS	CHINCHINÁ	CENTRO	1704	17174	17
CALDAS	FILADELFIA	ALTO OCCIDENTE	1701	17272	17
CALDAS	LA DORADA	ORIENTE	1705	17380	17
CALDAS	LA MERCED	ALTO OCCIDENTE	1701	17388	17
CALDAS	MANIZALES	CENTRO	1704	17001	17
CALDAS	MANZANARES	ALTO ORIENTE	1702	17433	17
CALDAS	MARMATO	ALTO OCCIDENTE	1701	17442	17
CALDAS	MARQUETALIA	ALTO ORIENTE	1702	17444	17
CALDAS	MARULANDA	ALTO ORIENTE	1702	17446	17
CALDAS	NEIRA	CENTRO	1704	17486	17
CALDAS	NORCASIA	ORIENTE	1705	17495	17
CALDAS	PÁCORA	NORTE	1706	17513	17
CALDAS	PALESTINA	CENTRO	1704	17524	17
CALDAS	PENSILVANIA	ALTO ORIENTE	1702	17541	17
CALDAS	RIOSUCIO	ALTO OCCIDENTE	1701	17614	17
CALDAS	RISARALDA	BAJO OCCIDENTE	1703	17616	17
CALDAS	SALAMINA	NORTE	1706	17653	17
CALDAS	SAMANÁ	ORIENTE	1705	17662	17
CALDAS	SAN JOSÉ	BAJO OCCIDENTE	1703	17665	17
CALDAS	SUPÍA	ALTO OCCIDENTE	1701	17777	17
CALDAS	VICTORIA	ORIENTE	1705	17867	17
CALDAS	VILLAMARÍA	CENTRO	1704	17873	17
CALDAS	VITERBO	BAJO OCCIDENTE	1703	17877	17
CAQUETÁ	ALBANIA	CAQUETÁ	1800	18029	18
CAQUETÁ	BELÉN DE LOS ANDAQUÍES	CAQUETÁ	1800	18094	18
CAQUETÁ	CARTAGENA DEL CHAIRÁ	CAQUETÁ	1800	18150	18
CAQUETÁ	CURILLO	CAQUETÁ	1800	18205	18
CAQUETÁ	EL DONCELLO	CAQUETÁ	1800	18247	18
CAQUETÁ	EL PAUJÍL	CAQUETÁ	1800	18256	18
CAQUETÁ	FLORENCIA	CAQUETÁ	1800	18001	18
CAQUETÁ	LA MONTAÑITA	CAQUETÁ	1800	18410	18
CAQUETÁ	MILÁN	CAQUETÁ	1800	18460	18
CAQUETÁ	MORELIA	CAQUETÁ	1800	18479	18
CAQUETÁ	PUERTO RICO	CAQUETÁ	1800	18592	18
CAQUETÁ	SAN JOSÉ DEL FRAGUA	CAQUETÁ	1800	18610	18
CAQUETÁ	SAN VICENTE DEL CAGUÁN	CAQUETÁ	1800	18753	18
CAQUETÁ	SOLANO	CAQUETÁ	1800	18756	18
CAQUETÁ	SOLITA	CAQUETÁ	1800	18785	18
CAQUETÁ	VALPARAÍSO	CAQUETÁ	1800	18860	18
CASANARE	AGUAZUL	CASANARE	8500	85010	85
CASANARE	CHÁMEZA	CASANARE	8500	85015	85
CASANARE	HATO COROZAL	CASANARE	8500	85125	85
CASANARE	LA SALINA	CASANARE	8500	85136	85
CASANARE	MANÍ	CASANARE	8500	85139	85
CASANARE	MONTERREY	CASANARE	8500	85162	85
CASANARE	NUNCHÍA	CASANARE	8500	85225	85
CASANARE	OROCUÉ	CASANARE	8500	85230	85
CASANARE	PAZ DE ARIPORO	CASANARE	8500	85250	85
CASANARE	PORE	CASANARE	8500	85263	85
CASANARE	RECETOR	CASANARE	8500	85279	85
CASANARE	SABANALARGA	CASANARE	8500	85300	85
CASANARE	SÁCAMA	CASANARE	8500	85315	85
CASANARE	SAN LUIS DE PALENQUE	CASANARE	8500	85325	85
CASANARE	TÁMARA	CASANARE	8500	85400	85
CASANARE	TAURAMENA	CASANARE	8500	85410	85
CASANARE	TRINIDAD	CASANARE	8500	85430	85
CASANARE	VILLANUEVA	CASANARE	8500	85440	85
CASANARE	YOPAL	CASANARE	8500	85001	85
CAUCA	ALMAGUER	SUR	1905	19022	19
CAUCA	ARGELIA	SUR	1905	19050	19
CAUCA	BALBOA	SUR	1905	19075	19
CAUCA	BOLÍVAR	SUR	1905	19100	19
CAUCA	BUENOS AIRES	NORTE	1902	19110	19
CAUCA	CAJIBÍO	CENTRO	1901	19130	19
CAUCA	CALDONO	ORIENTE	1904	19137	19
